Defense,Cluster_Mode
Matt Gilroy,4
Jason Demers,3
Casey Borer,5
Erik Karlsson,0
Shaun Heshka,5
Dan Girardi,1
Marc Staal,1
Niclas Wallin,4
Matthew Corrente,2
Mark Giordano,0
Francis Bouillon,3
Brett Carson,5
Lubomir Visnovsky,0
Dion Phaneuf,0
Bruno Gervais,1
Jared Cowen,1
Mattias Ohlund,1
Rob Scuderi,1
Joni Pitkanen,0
Scott Hannan,1
Ivan Vishnevskiy,5
Dan Boyle,0
Brooks Orpik,1
Jay Harrison,3
Aaron Ward,4
Matt Carkner,2
Keaton Ellerby,2
Fedor Tyutin,4
Andrew Bodnarchuk,2
Francois Beauchemin,1
Philip Larsen,2
Pavel Kubina,4
Mark Streit,0
Wade Redden,0
Anton Volchenkov,4
Jack Johnson,1
Lukas Krajicek,3
Aaron Rome,2
Kris Russell,1
Bryan Allen,1
Shane O'Brien,2
Andy Greene,1
Jordan Hendry,2
Jack Hillen,2
Matt Lashoff,5
Dan Hamhuis,1
Paul Mara,3
Keith Yandle,0
Deryk Engelland,3
Tom Poti,1
Kyle Cumiskey,5
Kim Johnsson,1
Mathieu Roy,5
Brad Stuart,1
Dustin Kohn,5
Nicklas Grossmann,4
Alex Pietrangelo,0
Freddy Meyer,2
Brent Sopel,2
Barret Jackman,1
Derek Morris,1
Andrew Alberts,2
Clayton Stoner,3
Tom Preissing,2
Davis Drewiske,2
Ryan Whitney,3
Kevin Bieksa,0
Sheldon Souray,3
Dylan Reese,2
Alexander Sulzer,2
Ed Jovanovski,3
Tyler Eckford,5
Brett Clark,1
Garnet Exelby,2
Mike Commodore,2
Braydon Coburn,1
Mark Popovic,2
Alex Goligoski,1
Johan Motin,5
Alexander Edler,0
Shea Weber,0
Maxime Fortunus,5
Keith Ballard,1
Victor Hedman,0
Brian Rafalski,0
Andrew MacDonald,4
Luke Schenn,4
Stephane Robidas,3
Mike Green,4
Nick Boynton,3
Christian Ehrhoff,0
Brent Seabrook,0
Sheldon Brookbank,2
Steve Montador,4
Nathan Paetsch,2
Roman Polak,1
Paul Martin,1
Kevin Klein,4
Johnny Boychuk,1
Anton Stralman,1
Toby Enstrom,4
Niklas Hjalmarsson,1
Matt Walker,5
Radek Martinek,5
Michael Del Zotto,3
Jakub Kindl,3
Mark Fraser,3
Adam Foote,3
Mathieu Schneider,1
Corey Potter,5
Karlis Skrastins,1
Nathan Oystrick,5
Craig Rivet,4
Ryan Wilson,3
Clay Wilson,5
Jonathan Ericsson,3
Jonas Junland,5
Matt Greene,4
Scott Niedermayer,0
Andrej Sekera,2
Mike Komisarek,3
Mike Lundin,2
Jay Bouwmeester,1
Oskars Bartulis,3
James Wisniewski,0
Hal Gill,4
Tyler Sloan,2
Michal Rozsival,2
Wes O'Neill,5
Mark Flood,2
Zach Bogosian,1
Tim Gleason,1
