,team,season,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst,penalitiesFor,penalitiesAgainst,confFinal
74,NYI,2020,Team Level,5on4,56,0.9,0.86,0.85,14264.0,190.38,24.62,17.61,40.05,6.89,115.14,58.69,23.32,24.62,23.32,195.0,68.0,77.0,340.0,26.0,22.0,7.0,33.0,9.0,83.0,90.0,169.0,237.0,7.0,16.0,122.0,22.0,5.0,36.0,194.0,31.0,38.0,4.26,3.95,16.41,2.0,5.0,19.0,340.0,263.0,263.0,5.0,4.46,5.54,5.54,23.53,23.53,22.73,33.36,2.78,1.51,5.03,1.08,11.05,24.55,2.64,2.78,2.64,35.0,11.0,10.0,56.0,0.0,2.0,0.0,3.0,6.0,3.0,32.0,35.0,46.0,0.0,0.0,103.0,50.0,29.0,25.0,38.0,4.0,4.0,0.91,0.41,1.46,0.0,0.0,0.0,56.0,46.0,46.0,23.0,0.35,0.58,0.58,2.55,2.55,2.54,,,yes
75,VGK,2020,Team Level,other,56,0.61,0.58,0.58,7562.0,104.58,22.04,7.84,18.0,3.59,58.84,36.76,21.09,22.04,21.09,104.0,44.0,58.0,206.0,24.0,8.0,0.0,25.0,2.0,49.0,40.0,80.0,124.0,5.0,10.0,81.0,20.0,14.0,7.0,78.0,37.0,33.0,2.91,4.67,14.46,6.0,6.0,12.0,206.0,148.0,148.0,4.0,2.35,1.47,1.4,22.93,22.93,22.09,76.46,13.95,5.67,14.36,2.49,41.57,26.95,13.08,13.95,13.08,76.0,29.0,45.0,150.0,7.0,5.0,0.0,11.0,1.0,48.0,33.0,69.0,98.0,8.0,16.0,72.0,29.0,17.0,11.0,61.0,25.0,19.0,2.59,2.88,8.48,1.0,0.0,6.0,150.0,105.0,105.0,3.0,1.68,0.71,0.71,14.93,14.93,14.0,,,yes
76,VGK,2020,Team Level,all,56,0.55,0.54,0.55,203768.0,1840.71,178.58,129.21,427.37,59.53,1025.73,735.65,171.92,180.56,173.87,1829.0,728.0,916.0,3473.0,190.0,152.0,30.0,450.0,43.0,799.0,923.0,1639.0,2367.0,166.0,378.0,1537.0,1218.0,401.0,333.0,1856.0,508.0,193.0,53.63,62.13,62.82,70.0,68.0,52.0,3543.7,2557.0,2601.29,164.0,28.68,33.72,33.72,173.47,175.31,171.54,1541.12,144.31,107.97,354.6,49.45,838.65,622.02,138.74,143.87,138.26,1528.0,589.0,840.0,2957.0,122.0,146.0,28.0,247.0,38.0,685.0,879.0,1406.0,1995.0,197.0,427.0,1565.0,1448.0,404.0,318.0,1565.0,397.0,155.0,45.17,49.93,49.2,39.0,41.0,42.0,2918.76,2117.0,2093.04,187.0,23.66,31.66,31.66,136.31,135.61,132.79,,,yes
77,VGK,2020,Team Level,5on5,56,0.53,0.53,0.54,165854.0,1429.82,124.93,95.61,344.71,46.17,787.89,583.68,120.88,126.92,122.83,1410.0,573.0,741.0,2724.0,135.0,118.0,23.0,362.0,35.0,611.0,722.0,1275.0,1848.0,146.0,330.0,1194.0,1147.0,346.0,278.0,1467.0,392.0,124.0,42.78,48.12,34.03,57.0,54.0,24.0,2794.7,1983.0,2027.29,143.0,19.79,25.41,26.04,118.68,120.52,118.69,1244.1,108.92,83.49,295.68,39.93,673.12,507.86,105.08,108.48,104.6,1235.0,474.0,669.0,2378.0,97.0,121.0,24.0,212.0,29.0,534.0,716.0,1138.0,1612.0,172.0,379.0,1229.0,1352.0,332.0,268.0,1278.0,315.0,116.0,37.19,39.7,32.02,34.0,36.0,27.0,2339.76,1709.0,1685.04,163.0,17.29,26.17,26.36,99.84,99.14,97.91,,,yes
78,VGK,2020,Team Level,4on5,56,0.19,0.15,0.18,14031.0,40.33,4.06,2.15,5.86,1.22,12.76,27.96,3.98,4.06,3.98,44.0,10.0,9.0,63.0,3.0,2.0,0.0,3.0,0.0,8.0,38.0,41.0,51.0,5.0,10.0,102.0,35.0,32.0,14.0,34.0,14.0,6.0,0.91,1.63,1.52,0.0,3.0,0.0,63.0,54.0,54.0,13.0,0.5,0.51,0.51,4.04,4.04,4.03,179.38,17.35,16.71,39.02,5.81,111.27,57.85,16.52,17.35,16.52,173.0,75.0,113.0,361.0,16.0,20.0,4.0,20.0,8.0,98.0,86.0,157.0,232.0,12.0,22.0,121.0,16.0,14.0,19.0,188.0,44.0,16.0,4.39,5.42,7.54,2.0,5.0,9.0,361.0,248.0,248.0,3.0,4.21,4.79,4.59,16.99,16.99,16.34,,,yes
79,VGK,2020,Team Level,5on4,56,0.87,0.88,0.87,16321.0,266.0,27.55,23.62,58.8,8.55,166.23,87.25,25.98,27.55,25.98,271.0,101.0,108.0,480.0,28.0,24.0,7.0,60.0,6.0,131.0,123.0,243.0,344.0,10.0,28.0,160.0,16.0,9.0,34.0,277.0,65.0,30.0,7.03,7.71,12.81,7.0,5.0,16.0,480.0,372.0,372.0,4.0,6.05,6.33,5.78,27.82,27.82,26.72,41.17,4.08,2.1,5.54,1.22,12.69,29.36,4.06,4.08,4.06,44.0,11.0,13.0,68.0,2.0,0.0,0.0,4.0,0.0,5.0,44.0,42.0,53.0,5.0,10.0,143.0,51.0,41.0,20.0,38.0,13.0,4.0,1.0,1.92,1.16,2.0,0.0,0.0,68.0,55.0,55.0,18.0,0.48,0.0,0.0,4.56,4.56,4.54,,,yes
80,COL,2021,Team Level,other,82,0.53,0.49,0.48,12764.0,169.88,42.36,12.14,30.37,5.76,85.62,55.74,40.21,42.36,40.21,174.0,58.0,79.0,311.0,45.0,14.0,1.0,36.0,12.0,64.0,61.0,129.0,187.0,8.0,16.0,166.0,37.0,40.0,25.0,116.0,56.0,60.0,4.5,7.05,30.81,8.0,8.0,29.0,311.0,232.0,232.0,10.0,3.57,3.55,3.55,42.38,42.38,40.62,183.04,37.58,14.54,32.96,6.45,106.21,54.25,31.99,37.58,31.99,191.0,61.0,75.0,327.0,33.0,20.0,5.0,38.0,10.0,86.0,65.0,158.0,219.0,12.0,24.0,176.0,49.0,24.0,17.0,129.0,70.0,53.0,4.48,8.86,24.24,7.0,8.0,18.0,327.0,252.0,252.0,9.0,4.26,6.92,6.92,34.92,34.92,31.41,,,yes
81,COL,2021,Team Level,all,82,0.53,0.53,0.52,298057.0,2740.33,275.81,192.65,621.27,89.04,1536.13,1105.08,265.22,278.55,267.86,2874.0,946.0,1339.0,5159.0,308.0,217.0,43.0,658.0,101.0,1104.0,1432.0,2566.0,3512.0,293.0,654.0,2316.0,1764.0,596.0,567.0,2833.0,700.0,287.0,84.68,84.74,106.38,111.0,94.0,103.0,5257.24,3820.0,3880.22,284.0,42.63,48.99,49.04,269.4,272.07,265.07,2522.74,244.16,178.23,578.9,84.64,1415.69,1007.36,230.29,242.27,228.45,2627.0,882.0,1084.0,4593.0,232.0,211.0,43.0,652.0,83.0,1020.0,1311.0,2395.0,3277.0,336.0,740.0,2583.0,1776.0,603.0,536.0,2561.0,697.0,251.0,70.68,85.32,88.17,77.0,73.0,82.0,4528.72,3509.0,3471.08,312.0,39.85,46.3,46.3,237.71,235.75,227.87,,,yes
82,COL,2021,Team Level,5on5,82,0.53,0.53,0.52,237663.0,2098.73,173.79,139.92,499.06,68.06,1172.71,871.46,168.81,176.53,171.45,2215.0,710.0,1082.0,4007.0,198.0,161.0,31.0,524.0,70.0,826.0,1146.0,2017.0,2727.0,258.0,581.0,1747.0,1613.0,483.0,455.0,2259.0,511.0,155.0,67.54,61.7,44.55,89.0,71.0,38.0,4105.24,2925.0,2985.22,241.0,28.85,34.9,35.15,167.49,170.16,167.39,1950.93,157.07,128.31,468.76,64.41,1084.67,806.79,151.86,155.18,150.01,2038.0,672.0,863.0,3573.0,153.0,152.0,28.0,521.0,58.0,766.0,1060.0,1885.0,2557.0,290.0,648.0,1951.0,1628.0,506.0,446.0,2061.0,509.0,140.0,56.72,62.26,38.09,63.0,59.0,31.0,3508.72,2710.0,2672.08,271.0,26.54,30.44,30.51,153.1,151.13,148.79,,,yes
83,COL,2021,Team Level,4on5,82,0.13,0.14,0.16,22085.0,65.38,6.51,3.62,8.57,1.83,20.39,45.08,6.49,6.51,6.49,79.0,7.0,10.0,96.0,6.0,0.0,0.0,9.0,2.0,14.0,55.0,73.0,80.0,8.0,16.0,176.0,84.0,50.0,27.0,61.0,18.0,7.0,2.19,2.59,1.73,3.0,1.0,2.0,96.0,86.0,86.0,26.0,0.83,0.0,0.0,7.34,7.34,7.32,330.16,43.68,32.02,68.63,11.78,204.48,104.41,40.73,43.68,40.73,333.0,132.0,131.0,596.0,42.0,36.0,10.0,86.0,14.0,151.0,136.0,291.0,423.0,20.0,40.0,230.0,27.0,15.0,45.0,314.0,101.0,50.0,8.07,11.96,23.65,6.0,6.0,30.0,596.0,465.0,465.0,7.0,8.29,8.46,8.39,43.58,43.58,41.58,,,yes
84,COL,2021,Team Level,5on4,82,0.9,0.88,0.88,25545.0,406.34,53.15,36.98,83.28,13.39,257.41,132.8,49.71,53.15,49.71,406.0,171.0,168.0,745.0,59.0,42.0,11.0,89.0,17.0,200.0,170.0,347.0,518.0,19.0,41.0,227.0,30.0,23.0,60.0,397.0,115.0,65.0,10.45,13.4,29.3,11.0,14.0,34.0,745.0,577.0,577.0,7.0,9.39,10.54,10.34,52.19,52.19,49.74,58.59,5.83,3.37,8.56,2.0,20.33,41.91,5.72,5.83,5.72,65.0,17.0,15.0,97.0,4.0,3.0,0.0,7.0,1.0,17.0,50.0,61.0,78.0,14.0,28.0,226.0,72.0,58.0,28.0,57.0,17.0,8.0,1.4,2.24,2.18,1.0,0.0,3.0,97.0,82.0,82.0,25.0,0.77,0.48,0.48,6.12,6.12,6.09,,,yes
85,TBL,2021,Team Level,other,82,0.53,0.51,0.53,10997.0,163.5,37.79,11.79,26.17,5.08,84.56,52.61,35.84,37.79,35.84,155.0,63.0,51.0,269.0,40.0,10.0,6.0,18.0,8.0,75.0,67.0,115.0,178.0,9.0,18.0,143.0,38.0,36.0,15.0,107.0,56.0,55.0,4.6,7.03,26.16,8.0,9.0,23.0,269.0,218.0,218.0,8.0,3.4,4.64,4.64,36.55,36.55,34.96,141.18,33.42,10.25,23.67,4.73,72.87,49.06,32.06,33.42,32.06,136.0,58.0,63.0,257.0,30.0,6.0,1.0,23.0,7.0,62.0,66.0,106.0,164.0,14.0,28.0,129.0,35.0,30.0,16.0,96.0,51.0,47.0,3.9,6.84,22.68,4.0,6.0,20.0,257.0,194.0,194.0,9.0,3.0,1.97,2.34,34.08,34.08,32.87,,,yes
86,TBL,2021,Team Level,all,82,0.52,0.51,0.51,299286.0,2590.32,270.79,189.42,556.38,82.92,1438.14,1024.35,261.09,273.59,263.72,2535.0,1027.0,997.0,4559.0,285.0,169.0,35.0,590.0,105.0,1141.0,1272.0,2250.0,3277.0,335.0,769.0,2340.0,2124.0,571.0,482.0,2463.0,843.0,256.0,77.28,102.55,90.96,90.0,103.0,92.0,4618.96,3562.0,3598.54,273.0,42.11,39.78,39.81,273.09,275.23,268.97,2438.49,252.28,173.0,531.45,78.18,1352.16,979.94,242.94,252.05,242.75,2442.0,925.0,1044.0,4411.0,228.0,159.0,41.0,544.0,95.0,991.0,1350.0,2214.0,3139.0,341.0,801.0,2329.0,2068.0,579.0,483.0,2387.0,734.0,246.0,73.71,89.69,88.88,65.0,78.0,85.0,4385.81,3367.0,3355.38,283.0,38.31,37.19,37.56,253.03,252.79,246.8,,,yes
87,TBL,2021,Team Level,5on5,82,0.52,0.51,0.51,239585.0,1983.49,177.88,138.84,446.33,63.26,1103.06,808.65,172.4,180.67,175.03,1930.0,808.0,814.0,3552.0,183.0,122.0,20.0,488.0,77.0,883.0,985.0,1747.0,2555.0,297.0,690.0,1750.0,1970.0,444.0,394.0,1966.0,636.0,136.0,62.25,77.31,38.32,71.0,81.0,31.0,3611.96,2738.0,2774.54,233.0,28.8,28.19,28.23,178.45,180.6,177.8,1894.38,163.7,129.09,433.34,60.59,1056.15,779.12,159.12,163.47,158.92,1900.0,722.0,811.0,3433.0,149.0,126.0,31.0,443.0,75.0,762.0,1067.0,1751.0,2473.0,300.0,718.0,1771.0,1919.0,454.0,395.0,1939.0,559.0,124.0,60.2,67.93,35.58,54.0,59.0,36.0,3407.81,2622.0,2610.38,248.0,26.7,27.96,27.96,162.44,162.19,159.76,,,yes
88,TBL,2021,Team Level,4on5,82,0.14,0.13,0.15,23949.0,59.13,7.59,3.47,7.99,1.89,18.41,38.64,7.44,7.59,7.44,64.0,14.0,15.0,93.0,7.0,3.0,1.0,5.0,1.0,13.0,49.0,57.0,71.0,14.0,31.0,200.0,77.0,73.0,25.0,43.0,22.0,13.0,1.13,2.87,3.6,1.0,1.0,5.0,93.0,78.0,78.0,24.0,0.79,0.85,0.85,7.53,7.53,7.5,330.95,47.24,29.71,65.33,10.84,201.16,101.72,43.86,47.24,43.86,334.0,122.0,156.0,612.0,45.0,26.0,9.0,70.0,12.0,161.0,142.0,289.0,411.0,20.0,41.0,236.0,39.0,27.0,52.0,288.0,104.0,64.0,7.26,12.31,27.67,7.0,10.0,28.0,612.0,456.0,456.0,7.0,7.71,7.21,7.21,47.75,47.75,45.41,,,yes
89,TBL,2021,Team Level,5on4,82,0.86,0.86,0.85,24755.0,384.2,47.53,35.31,75.89,12.71,232.11,124.45,45.4,47.53,45.4,386.0,142.0,117.0,645.0,55.0,34.0,8.0,79.0,19.0,170.0,171.0,331.0,473.0,15.0,30.0,247.0,39.0,18.0,48.0,347.0,129.0,52.0,9.3,15.34,22.89,10.0,12.0,33.0,645.0,528.0,528.0,8.0,9.13,6.1,6.1,50.56,50.56,48.7,71.98,7.92,3.94,9.11,2.02,21.98,50.04,7.9,7.92,7.9,72.0,23.0,14.0,109.0,4.0,1.0,0.0,8.0,1.0,6.0,75.0,68.0,91.0,7.0,14.0,193.0,75.0,68.0,20.0,64.0,20.0,11.0,2.36,2.61,2.94,0.0,3.0,1.0,109.0,95.0,95.0,19.0,0.9,0.05,0.05,8.77,8.77,8.75,,,yes
90,NYR,2021,Team Level,other,82,0.69,0.53,0.56,10604.0,157.96,39.44,10.96,27.93,5.19,79.33,54.14,35.33,39.44,35.33,164.0,53.0,48.0,265.0,35.0,17.0,3.0,26.0,8.0,64.0,67.0,129.0,182.0,6.0,12.0,116.0,37.0,29.0,28.0,106.0,53.0,58.0,4.05,6.44,28.96,7.0,8.0,20.0,265.0,217.0,217.0,11.0,3.13,5.92,5.92,36.66,36.66,34.12,121.46,17.58,9.14,22.44,4.05,68.8,45.98,16.76,17.58,16.76,123.0,45.0,65.0,233.0,16.0,6.0,2.0,12.0,7.0,58.0,69.0,107.0,152.0,8.0,16.0,113.0,23.0,29.0,24.0,102.0,44.0,22.0,4.11,5.23,8.25,4.0,4.0,8.0,233.0,168.0,168.0,7.0,2.54,1.77,1.77,18.35,18.35,17.74,,,yes
91,NYR,2021,Team Level,all,82,0.51,0.48,0.48,298246.0,2362.28,239.47,164.25,533.23,76.94,1321.06,952.04,227.21,240.09,227.85,2392.0,895.0,986.0,4273.0,250.0,190.0,43.0,571.0,83.0,958.0,1235.0,2142.0,3037.0,283.0,625.0,2061.0,2094.0,627.0,743.0,2416.0,627.0,244.0,67.93,75.59,95.95,84.0,84.0,82.0,4295.15,3287.0,3300.77,374.0,36.24,46.96,46.96,228.74,229.5,221.92,2517.13,227.42,177.1,574.6,82.42,1418.08,1031.39,217.78,227.0,217.39,2529.0,982.0,1167.0,4678.0,204.0,209.0,36.0,494.0,77.0,1139.0,1388.0,2325.0,3307.0,267.0,595.0,2227.0,1780.0,593.0,718.0,2624.0,668.0,219.0,75.79,82.47,69.16,74.0,68.0,62.0,4667.24,3511.0,3502.08,340.0,38.69,42.03,42.11,224.01,223.53,218.15,,,yes
92,NYR,2021,Team Level,5on5,82,0.47,0.47,0.47,245839.0,1804.59,147.24,120.97,426.52,58.73,1014.87,745.67,142.84,147.88,143.48,1841.0,673.0,808.0,3322.0,158.0,135.0,29.0,468.0,60.0,714.0,979.0,1683.0,2356.0,254.0,564.0,1592.0,1951.0,518.0,604.0,1907.0,486.0,121.0,53.42,58.89,34.94,67.0,64.0,27.0,3344.16,2514.0,2527.77,320.0,24.89,31.06,31.06,141.08,141.82,139.82,2012.31,165.23,135.28,475.09,65.79,1123.89,835.73,159.78,164.8,159.39,2007.0,794.0,945.0,3746.0,148.0,163.0,30.0,408.0,59.0,887.0,1136.0,1859.0,2653.0,236.0,530.0,1708.0,1683.0,499.0,602.0,2125.0,537.0,139.0,61.31,66.57,37.34,58.0,58.0,32.0,3735.24,2801.0,2792.08,294.0,27.88,31.83,31.9,161.21,160.73,158.17,,,yes
93,NYR,2021,Team Level,4on5,82,0.13,0.14,0.16,21775.0,64.26,5.94,3.28,9.17,1.92,20.37,45.32,5.88,5.94,5.88,66.0,20.0,13.0,99.0,7.0,3.0,0.0,6.0,2.0,10.0,58.0,59.0,79.0,6.0,12.0,165.0,82.0,53.0,39.0,59.0,20.0,7.0,1.87,2.36,1.71,3.0,2.0,2.0,99.0,86.0,86.0,37.0,0.75,0.22,0.22,6.46,6.46,6.45,329.17,40.38,30.13,69.25,10.92,207.69,109.63,37.01,40.38,37.01,343.0,125.0,146.0,614.0,38.0,38.0,4.0,72.0,10.0,177.0,133.0,305.0,430.0,14.0,28.0,227.0,23.0,19.0,58.0,337.0,78.0,53.0,8.67,9.51,22.2,11.0,6.0,21.0,614.0,468.0,468.0,8.0,7.67,8.37,8.37,39.69,39.69,37.47,,,yes
94,NYR,2021,Team Level,5on4,82,0.92,0.87,0.86,20028.0,335.47,46.84,29.04,69.61,11.1,206.49,106.92,43.16,46.84,43.16,321.0,149.0,117.0,587.0,50.0,35.0,11.0,71.0,13.0,170.0,131.0,271.0,420.0,17.0,37.0,188.0,24.0,27.0,72.0,344.0,68.0,58.0,8.6,7.9,30.35,7.0,10.0,33.0,587.0,470.0,470.0,6.0,7.47,9.75,9.75,44.56,44.56,41.54,54.19,4.23,2.56,7.81,1.66,17.69,40.04,4.23,4.23,4.23,56.0,18.0,11.0,85.0,2.0,2.0,0.0,2.0,1.0,17.0,50.0,54.0,72.0,9.0,21.0,179.0,51.0,46.0,34.0,60.0,9.0,5.0,1.7,1.17,1.37,1.0,0.0,1.0,85.0,74.0,74.0,31.0,0.59,0.06,0.06,4.77,4.77,4.76,,,yes
95,EDM,2021,Team Level,other,82,0.64,0.49,0.5,9891.0,149.18,40.17,10.57,21.81,4.32,68.98,48.14,38.86,40.17,38.86,145.0,49.0,44.0,238.0,37.0,9.0,2.0,18.0,1.0,69.0,60.0,108.0,157.0,4.0,8.0,121.0,34.0,26.0,30.0,68.0,75.0,51.0,3.02,9.18,27.97,1.0,9.0,27.0,238.0,194.0,194.0,13.0,3.01,3.28,3.28,39.91,39.91,38.82,140.25,22.35,10.11,26.84,4.98,79.82,49.9,21.58,22.35,21.58,151.0,43.0,54.0,248.0,21.0,10.0,0.0,24.0,8.0,60.0,71.0,130.0,173.0,8.0,18.0,121.0,37.0,25.0,26.0,107.0,65.0,22.0,4.29,8.01,10.06,7.0,5.0,9.0,248.0,194.0,194.0,6.0,2.9,2.38,2.38,22.87,22.87,22.35,,,yes
96,EDM,2021,Team Level,all,82,0.54,0.52,0.51,298753.0,2743.39,286.87,193.89,596.62,86.81,1491.09,1108.72,276.15,288.38,277.62,2791.0,973.0,1197.0,4961.0,285.0,198.0,41.0,583.0,98.0,1226.0,1374.0,2506.0,3479.0,275.0,586.0,2414.0,1853.0,633.0,885.0,2617.0,858.0,289.0,78.14,104.64,104.09,70.0,108.0,107.0,5003.54,3764.0,3790.82,533.0,42.8,45.05,45.33,284.34,285.54,278.43,2571.03,249.37,180.13,580.31,84.23,1436.95,1022.02,240.1,250.78,241.45,2647.0,906.0,1018.0,4571.0,251.0,191.0,35.0,571.0,99.0,1109.0,1332.0,2396.0,3302.0,257.0,543.0,2294.0,1935.0,654.0,926.0,2553.0,776.0,224.0,80.61,92.54,76.22,84.0,91.0,76.0,4567.28,3553.0,3559.95,553.0,39.81,40.62,40.62,248.55,249.82,244.35,,,yes
97,EDM,2021,Team Level,5on5,82,0.51,0.52,0.52,243509.0,2127.06,184.39,142.78,490.34,67.61,1169.84,879.05,178.83,185.91,180.29,2161.0,773.0,1014.0,3948.0,181.0,154.0,32.0,492.0,80.0,937.0,1090.0,1980.0,2753.0,245.0,518.0,1889.0,1716.0,530.0,754.0,2161.0,602.0,171.0,64.48,73.48,46.44,55.0,79.0,47.0,3990.54,2934.0,2960.81,467.0,29.56,32.43,32.67,181.29,182.49,179.59,1994.18,173.78,132.86,467.27,64.73,1100.8,814.55,168.33,175.2,169.68,2050.0,704.0,823.0,3577.0,173.0,143.0,25.0,459.0,73.0,831.0,1075.0,1877.0,2581.0,225.0,477.0,1736.0,1806.0,538.0,771.0,2049.0,562.0,143.0,66.17,67.41,40.21,69.0,70.0,34.0,3573.28,2754.0,2760.95,496.0,27.47,28.08,28.08,173.17,174.44,171.48,,,yes
98,EDM,2021,Team Level,4on5,82,0.14,0.16,0.18,23879.0,87.17,7.92,4.29,11.54,2.67,27.34,62.25,7.87,7.92,7.87,100.0,16.0,11.0,127.0,11.0,1.0,2.0,14.0,1.0,20.0,69.0,89.0,105.0,12.0,32.0,188.0,74.0,56.0,51.0,79.0,32.0,5.0,2.28,4.24,1.4,5.0,5.0,1.0,127.0,116.0,116.0,51.0,0.99,0.33,0.37,8.54,8.54,8.5,384.89,47.09,34.2,79.54,12.88,239.58,122.7,44.13,47.09,44.13,391.0,145.0,133.0,669.0,51.0,35.0,10.0,86.0,18.0,201.0,145.0,340.0,485.0,17.0,34.0,261.0,21.0,32.0,88.0,361.0,124.0,51.0,9.11,14.15,23.83,8.0,12.0,31.0,669.0,536.0,536.0,11.0,8.76,9.76,9.76,46.09,46.09,44.15,,,yes
99,EDM,2021,Team Level,5on4,82,0.9,0.89,0.88,21474.0,379.97,54.38,36.25,72.93,12.21,224.94,119.28,50.59,54.38,50.59,385.0,135.0,128.0,648.0,56.0,34.0,5.0,59.0,16.0,200.0,155.0,329.0,464.0,14.0,28.0,216.0,29.0,21.0,50.0,309.0,149.0,62.0,8.37,17.75,28.27,9.0,15.0,32.0,648.0,520.0,520.0,2.0,9.23,9.01,9.01,54.59,54.59,51.51,51.7,6.14,2.95,6.65,1.63,16.75,34.88,6.06,6.14,6.06,55.0,14.0,8.0,77.0,6.0,3.0,0.0,2.0,0.0,17.0,41.0,49.0,63.0,7.0,14.0,176.0,71.0,59.0,41.0,36.0,25.0,8.0,1.05,2.97,2.13,0.0,4.0,2.0,77.0,69.0,69.0,40.0,0.68,0.41,0.41,6.42,6.42,6.37,,,yes
100,VGK,2022,Team Level,other,82,0.49,0.47,0.47,10459.0,136.47,28.48,10.28,24.66,4.8,74.09,46.69,27.53,28.48,27.53,141.0,48.0,75.0,264.0,33.0,14.0,4.0,21.0,5.0,67.0,49.0,108.0,156.0,7.0,14.0,123.0,47.0,32.0,20.0,115.0,35.0,39.0,4.07,4.55,19.86,7.0,7.0,19.0,264.0,189.0,189.0,8.0,2.9,3.42,3.42,27.96,27.96,27.32,155.02,29.77,11.87,27.35,5.1,88.93,52.98,28.96,29.77,28.96,156.0,60.0,85.0,301.0,27.0,12.0,0.0,32.0,4.0,78.0,63.0,129.0,189.0,2.0,2.0,124.0,33.0,32.0,26.0,129.0,48.0,39.0,5.21,5.67,18.89,6.0,7.0,14.0,301.0,216.0,216.0,9.0,3.3,3.31,3.31,29.75,29.75,29.12,,,yes
101,VGK,2022,Team Level,all,82,0.53,0.49,0.5,299852.0,2558.24,265.92,182.4,589.73,84.93,1393.35,1006.74,254.09,269.26,257.29,2587.0,937.0,1262.0,4786.0,267.0,242.0,45.0,526.0,85.0,1107.0,1297.0,2320.0,3257.0,235.0,523.0,2445.0,1930.0,718.0,575.0,2489.0,739.0,296.0,72.5,92.94,100.49,79.0,95.0,93.0,4860.86,3524.0,3569.58,278.0,40.19,52.33,52.42,253.63,256.64,250.64,2573.42,237.71,176.48,606.83,85.31,1425.68,1030.99,228.44,236.23,227.02,2534.0,1029.0,1493.0,5056.0,225.0,230.0,32.0,579.0,91.0,1179.0,1259.0,2309.0,3338.0,250.0,544.0,2234.0,2334.0,678.0,694.0,2676.0,646.0,241.0,76.24,78.44,83.02,72.0,83.0,70.0,5007.25,3563.0,3542.41,318.0,38.6,45.83,46.38,229.93,228.71,223.72,,,yes
