Team,Season,GP,W,L,T,P,P%,RW,ROW,S/O Win,GF,GA,GF/GP,GA/GP,PP%,PK%,Net PP%,Net PK%,Shots/GP,SA/GP,FOW%,OT
Tampa Bay Lightning,20142015,26,14,12,--,28,0.538,11,14,0,65,62,2.5,2.38,20.0,82.4,17.7,85.9,28.1,28.0,48.0,
New York Rangers,20142015,19,11,8,--,22,0.579,7,11,0,45,41,2.37,2.16,21.0,80.0,19.4,80.0,30.9,30.0,46.5,
Anaheim Ducks,20142015,16,11,5,--,22,0.688,8,11,0,57,42,3.56,2.63,26.7,84.2,22.2,84.2,35.6,29.6,52.7,
Washington Capitals,20142015,14,7,7,--,14,0.5,6,7,0,28,28,2.0,2.0,10.7,90.6,10.7,90.6,31.7,31.1,55.8,
Montréal Canadiens,20142015,12,6,6,--,12,0.5,4,6,0,25,29,2.08,2.42,5.6,70.0,5.6,75.0,34.7,29.4,52.2,
Calgary Flames,20142015,11,5,6,--,10,0.455,4,5,0,27,33,2.45,3.0,19.4,73.5,19.4,76.5,25.3,31.5,46.8,
Minnesota Wild,20142015,10,4,6,--,8,0.4,4,4,0,24,27,2.4,2.7,30.4,76.5,17.4,82.4,26.7,27.2,46.3,
New York Islanders,20142015,7,3,4,--,6,0.429,2,3,0,15,16,2.14,2.29,0.0,84.6,0.0,84.6,28.4,31.6,44.0,
Detroit Red Wings,20142015,7,3,4,--,6,0.429,3,3,0,15,17,2.14,2.43,17.2,93.3,10.3,96.7,24.0,28.6,46.0,
Ottawa Senators,20142015,6,2,4,--,4,0.333,2,2,0,12,12,2.0,2.0,25.0,95.0,20.0,95.0,33.0,37.3,48.7,
Nashville Predators,20142015,6,2,4,--,4,0.333,2,2,0,21,19,3.5,3.17,27.3,84.2,27.3,84.2,38.7,34.7,50.6,
St. Louis Blues,20142015,6,2,4,--,4,0.333,2,2,0,14,17,2.33,2.83,18.2,66.7,9.1,75.0,26.5,22.7,52.9,
Vancouver Canucks,20142015,6,2,4,--,4,0.333,2,2,0,14,18,2.33,3.0,18.8,72.2,18.8,72.2,30.2,26.2,50.0,
Pittsburgh Penguins,20142015,5,1,4,--,2,0.2,1,1,0,8,11,1.6,2.2,15.4,85.0,15.4,85.0,26.4,30.0,54.4,
Winnipeg Jets,20142015,4,0,4,--,0,0.0,0,0,0,9,16,2.25,4.0,15.4,72.7,15.4,72.7,29.5,34.5,46.1,
Pittsburgh Penguins,20152016,24,16,8,--,32,0.667,12,16,0,73,55,3.04,2.29,23.4,85.1,22.1,86.6,34.9,28.0,50.5,
San Jose Sharks,20152016,24,14,10,--,28,0.583,13,14,0,75,56,3.13,2.33,24.0,79.7,21.3,79.7,26.8,28.9,47.1,
Tampa Bay Lightning,20152016,17,11,6,--,22,0.647,8,11,0,48,40,2.82,2.35,16.1,86.6,16.1,86.6,27.8,33.3,47.9,
St. Louis Blues,20152016,20,10,10,--,20,0.5,8,10,0,57,56,2.85,2.8,26.3,80.0,24.6,81.7,27.5,31.0,51.1,
Nashville Predators,20152016,14,7,7,--,14,0.5,5,7,0,31,43,2.21,3.07,8.7,73.9,8.7,73.9,29.3,29.4,49.7,
Dallas Stars,20152016,13,7,6,--,14,0.538,6,7,0,35,42,2.69,3.23,15.4,73.7,15.4,73.7,28.3,27.4,50.2,
Washington Capitals,20152016,12,6,6,--,12,0.5,5,6,0,29,22,2.42,1.83,26.0,90.7,26.0,90.7,32.3,30.3,49.6,
New York Islanders,20152016,11,5,6,--,10,0.455,2,5,0,26,32,2.36,2.91,23.1,85.7,23.1,85.7,33.1,35.6,52.0,
Chicago Blackhawks,20152016,7,3,4,--,6,0.429,2,3,0,20,19,2.86,2.71,31.6,72.2,31.6,77.8,36.6,29.3,49.3,
Anaheim Ducks,20152016,7,3,4,--,6,0.429,3,3,0,18,14,2.57,2.0,16.0,96.2,16.0,96.2,28.6,27.6,54.3,
Philadelphia Flyers,20152016,6,2,4,--,4,0.333,2,2,0,6,14,1.0,2.33,4.2,70.4,4.2,70.4,25.8,31.0,51.8,
Florida Panthers,20152016,6,2,4,--,4,0.333,2,2,0,14,15,2.33,2.5,13.3,76.2,13.3,76.2,39.2,37.8,48.7,
Minnesota Wild,20152016,6,2,4,--,4,0.333,1,2,0,17,21,2.83,3.5,25.0,79.0,25.0,79.0,26.0,27.3,48.8,
New York Rangers,20152016,5,1,4,--,2,0.2,1,1,0,10,21,2.0,4.2,10.5,61.9,5.3,66.7,30.8,30.6,52.8,
Detroit Red Wings,20152016,5,1,4,--,2,0.2,1,1,0,8,12,1.6,2.4,4.0,82.6,4.0,82.6,32.0,27.6,50.0,
Los Angeles Kings,20152016,5,1,4,--,2,0.2,0,1,0,11,16,2.2,3.2,21.4,76.2,21.4,81.0,25.0,26.6,54.5,
Pittsburgh Penguins,20162017,25,16,9,--,32,0.64,14,16,0,77,57,3.08,2.28,20.5,83.6,20.5,86.3,28.7,31.8,50.4,
Nashville Predators,20162017,22,14,8,--,28,0.636,12,14,0,60,48,2.73,2.18,16.9,89.1,16.9,89.1,29.7,28.1,50.5,
Ottawa Senators,20162017,19,11,8,--,22,0.579,5,11,0,47,50,2.47,2.63,11.5,81.4,6.6,81.4,30.2,32.7,51.5,
Anaheim Ducks,20162017,17,10,7,--,20,0.588,6,10,0,50,52,2.94,3.06,13.0,76.6,11.1,76.6,34.2,32.3,55.2,
Washington Capitals,20162017,13,7,6,--,14,0.538,3,7,0,36,36,2.77,2.77,25.0,85.0,22.5,85.0,33.8,28.8,47.5,
Edmonton Oilers,20162017,13,7,6,--,14,0.538,6,7,0,36,35,2.77,2.69,21.4,85.7,21.4,89.8,29.2,34.2,44.4,
New York Rangers,20162017,12,6,6,--,12,0.5,5,6,0,34,30,2.83,2.5,7.7,89.5,7.7,97.4,33.0,33.0,47.1,
St. Louis Blues,20162017,11,6,5,--,12,0.545,4,6,0,22,23,2.0,2.09,6.7,80.0,6.7,80.0,26.9,30.6,45.0,
Boston Bruins,20162017,6,2,4,--,4,0.333,1,2,0,13,15,2.17,2.5,18.8,78.3,18.8,82.6,27.5,31.2,50.1,
Montréal Canadiens,20162017,6,2,4,--,4,0.333,1,2,0,11,14,1.83,2.33,15.0,93.3,10.0,93.3,34.3,30.2,50.9,
Toronto Maple Leafs,20162017,6,2,4,--,4,0.333,0,2,0,16,18,2.67,3.0,16.7,70.6,16.7,70.6,35.5,35.2,54.0,
San Jose Sharks,20162017,6,2,4,--,4,0.333,1,2,0,14,12,2.33,2.0,19.2,87.5,11.5,87.5,28.8,28.2,52.8,
Columbus Blue Jackets,20162017,5,1,4,--,2,0.2,1,1,0,13,21,2.6,4.2,16.7,66.7,8.3,66.7,38.8,34.2,47.5,
Minnesota Wild,20162017,5,1,4,--,2,0.2,1,1,0,8,11,1.6,2.2,16.7,93.3,16.7,93.3,36.4,26.8,57.4,
Chicago Blackhawks,20162017,4,0,4,--,0,0.0,0,0,0,3,13,0.75,3.25,22.2,87.5,22.2,87.5,31.5,31.0,47.2,
Calgary Flames,20162017,4,0,4,--,0,0.0,0,0,0,9,14,2.25,3.5,37.5,76.9,37.5,84.6,34.5,30.5,46.6,
Washington Capitals,20172018,24,16,8,--,32,0.667,13,16,0,86,61,3.58,2.54,29.3,76.0,28.0,77.3,31.8,28.8,49.1,
Vegas Golden Knights,20172018,20,13,7,--,26,0.65,11,13,0,57,47,2.85,2.35,18.5,79.5,18.5,79.5,31.5,32.1,48.4,
Tampa Bay Lightning,20172018,17,11,6,--,22,0.647,10,11,0,50,48,2.94,2.82,28.6,75.0,25.0,75.0,29.2,31.5,50.8,
Winnipeg Jets,20172018,17,9,8,--,18,0.529,9,9,0,53,42,3.12,2.47,24.5,76.2,22.5,76.2,33.4,30.6,49.5,
Nashville Predators,20172018,13,7,6,--,14,0.538,6,7,0,41,42,3.15,3.23,21.6,82.1,21.6,84.6,35.8,31.5,55.1,
